,Row.names,Protein.Ids,Protein.Names,Genes,Protein.Description,logFC,AveExpr,t,P.Value,adj.P.Val,B,Type,Label
27,A6NIH7,A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,-0.000518234,21.62176495,-0.002976187,0.997687315,1,-6.238911233,No Change,
29,A6NK58,A6NK58,LIPT2_HUMAN,LIPT2,"Octanoyl-[acyl-carrier-protein]:protein N-octanoyltransferase LIPT2, mitochondrial",0.276598199,18.62321403,3.66684514,0.004780751,0.471041069,-1.887096209,No Change,
30,A6NKD9,A6NKD9,CC85C_HUMAN,CCDC85C,Coiled-coil domain-containing protein 85C,-0.240451289,19.56716653,-2.294121429,0.046172497,0.655200991,-4.033579974,No Change,
32,A8MPS7,A8MPS7,YDJC_HUMAN,YDJC,Carbohydrate deacetylase,0.047073518,20.67422176,1.192066865,0.262346434,0.84469323,-5.536200862,No Change,
34,A8MXV4,A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,0.042602833,22.46682113,1.465783124,0.175215032,0.78348185,-5.212688026,No Change,
35,A9UHW6,A9UHW6,MI4GD_HUMAN,MIF4GD,MIF4G domain-containing protein,0.106583875,23.24923526,2.286849281,0.046735114,0.655200991,-4.044745976,No Change,
36,B1AK53,B1AK53,ESPN_HUMAN,ESPN,Espin,-0.048656556,19.57008253,-0.881389837,0.399996798,0.916822821,-5.842118873,No Change,
37,B7ZAP0,B7ZAP0,RBG10_HUMAN,RABGAP1L,"Rab GTPase-activating protein 1-like, isoform 10",-0.020029763,20.54101994,-0.357164856,0.728825105,0.991575893,-6.171480332,No Change,
38,C0HLS1,C0HLS1,OSCRI_HUMAN,SCRIB,SCRIB overlapping open reading frame protein,-0.086701933,18.26660192,-0.91294937,0.383998078,0.909034652,-5.814431636,No Change,
40,C9J7I0,C9J7I0,UMAD1_HUMAN,UMAD1,UBAP1-MVB12-associated (UMA)-domain containing protein 1,0.094350181,16.97669217,0.667716122,0.520307344,0.950985604,-6.007218111,No Change,
41,C9JLW8,C9JLW8,MCRI1_HUMAN,MCRIP1,Mapk-regulated corepressor-interacting protein 1,-0.047298098,23.00986239,-1.016694285,0.334653424,0.884900881,-5.717810814,No Change,
42,E9PAV3,Q13765;E9PAV3,NACAM_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.085680965,25.97908978,1.698084567,0.122152119,0.710303062,-4.906734781,No Change,
43,E9PRG8,E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,-0.031408878,22.11037514,-0.460159462,0.655820267,0.981377722,-6.127489463,No Change,
44,L0R819,L0R819,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,-0.046315108,21.08054099,-0.961888435,0.360101693,0.900839194,-5.769906599,No Change,
45,L0R8F8,L0R8F8,MIDUO_HUMAN,MIEF1,Mitochondrial ribosome and complex I assembly factor AltMIEF1,0.027568893,20.16410292,0.532640455,0.606594439,0.965564589,-6.090199682,No Change,
46,O00115,O00115,DNS2A_HUMAN,DNASE2,Deoxyribonuclease-2-alpha,-0.01007573,23.50671324,-0.230268699,0.822797056,0.997839254,-6.210771865,No Change,
47,O00142,O00142,KITM_HUMAN,TK2,"Thymidine kinase 2, mitochondrial",-0.002724237,18.59884356,-0.033533925,0.973947378,0.999039915,-6.238317368,No Change,
48,O00151,O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,-0.042629077,24.43567143,-0.81689852,0.434122539,0.921715369,-5.896124563,No Change,
49,O00154,O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,0.057188539,25.27242896,1.696255436,0.122506117,0.710303062,-4.909238475,No Change,
50,O00160,O00160,MYO1F_HUMAN,MYO1F,Unconventional myosin-If,-0.013298435,20.67599574,-0.318432518,0.757091223,0.992329784,-6.185236857,No Change,
51,O00161,O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,-0.023661044,23.56458847,-0.532317684,0.606809351,0.965564589,-6.090377128,No Change,
52,O00170,O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,-0.007210406,23.10080553,-0.209807831,0.838277216,0.997839254,-6.215539706,No Change,
53,O00178,O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,-0.018070065,20.678445,-0.549023876,0.595738196,0.96468751,-6.081060315,No Change,
54,O00193,O00193,SMAP_HUMAN,SMAP,Small acidic protein,0.031820298,25.65154536,0.718400985,0.489912401,0.942610067,-5.971700241,No Change,
55,O00203,O00203;Q13367,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,0.02124429,20.61244863,0.27941759,0.78595165,0.996485993,-6.197532159,No Change,
56,O00221,O00221,IKBE_HUMAN,NFKBIE,NF-kappa-B inhibitor epsilon,0.033611449,19.63211203,0.601177914,0.561881445,0.955287478,-6.0502508,No Change,
57,O00231,O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,-0.027522875,24.8808596,-0.899522941,0.390748025,0.9122983,-5.826310194,No Change,
58,O00232,O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,-0.013919002,24.90854055,-0.453464526,0.660461505,0.984808982,-6.130672464,No Change,
59,O00233,O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,-0.00078864,24.76395521,-0.021711081,0.983130556,0.999039915,-6.23866503,No Change,
60,O00244,O00244,ATOX1_HUMAN,ATOX1,Copper transport protein ATOX1,0.078421545,22.2353381,1.626930145,0.13662749,0.722940529,-5.003088138,No Change,
61,O00267,O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,0.001365346,21.67647256,0.029358655,0.977190056,0.999039915,-6.238457139,No Change,
62,O00273,O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,0.005075891,24.49135105,0.153099891,0.881543149,0.997839254,-6.226454433,No Change,
63,O00287,O00287,RFXAP_HUMAN,RFXAP,Regulatory factor X-associated protein,-0.011856878,18.91471298,-0.136616646,0.894203936,0.997839254,-6.228990684,No Change,
64,O00299,O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,0.012079317,29.44832573,0.355453134,0.730065626,0.991575893,-6.172120728,No Change,
65,O00303,O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,-0.015298098,22.20007001,-0.28126039,0.784580328,0.996485993,-6.19698686,No Change,
66,O00308,O00308,WWP2_HUMAN,WWP2,NEDD4-like E3 ubiquitin-protein ligase WWP2,-0.272270903,17.00786371,-2.502269738,0.032612005,0.609226654,-3.710828183,No Change,
67,O00330,O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",-0.123300212,23.12956817,-1.715283593,0.118868766,0.708582144,-4.883126148,No Change,
68,O00399,O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,-0.041532708,22.37529389,-0.502981243,0.626506246,0.975777495,-6.106081636,No Change,
69,O00401,O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL,-0.117443446,19.94266506,-2.21585515,0.052590985,0.660320696,-4.153273657,No Change,
70,O00410,O00410,IPO5_HUMAN,IPO5,Importin-5,-0.011226982,26.48430081,-0.256027602,0.803423101,0.996485993,-6.20414685,No Change,
71,O00429,O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,0.003253575,22.77185715,0.09390299,0.927149716,0.997839254,-6.234224268,No Change,
72,O00442,O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,-0.029243469,24.1761141,-0.775767359,0.456885334,0.934075612,-5.928717756,No Change,
73,O00462,O00462,MANBA_HUMAN,MANBA,Beta-mannosidase,0.022526877,24.28781763,0.534227771,0.605538124,0.965564589,-6.089325575,No Change,
74,O00469,O00469,PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",-0.043409361,22.1726371,-1.334357808,0.213385911,0.814616529,-5.373601479,No Change,
75,O00487,O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,-0.045865366,25.59013786,-1.17432937,0.269043124,0.85016485,-5.5555512,No Change,
76,O00488,O00488,ZN593_HUMAN,ZNF593,Zinc finger protein 593,0.09862503,19.18440157,1.446678442,0.180369681,0.787327971,-5.236671946,No Change,
77,O00505,O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,0.017676738,24.74183556,0.309075442,0.763978965,0.992329784,-6.188329022,No Change,
78,O00512,O00512,BCL9_HUMAN,BCL9,B-cell CLL/lymphoma 9 protein,0.072463279,18.41563631,0.933776671,0.373692777,0.907668789,-5.795716774,No Change,
79,O00560,O00560,SDCB1_HUMAN,SDCBP,Syntenin-1,-0.018834898,23.18001936,-0.429741771,0.677029031,0.986814215,-6.141591477,No Change,
80,O00584,O00584,RNT2_HUMAN,RNASET2,Ribonuclease T2,-0.010304464,22.62808475,-0.261315376,0.799462902,0.996485993,-6.202701251,No Change,
81,O00625,O00625,PIR_HUMAN,PIR,Pirin,0.061769934,21.53767467,0.820944284,0.431925356,0.921715369,-5.892839919,No Change,
82,O00628,O00628,PEX7_HUMAN,PEX7,Peroxisomal targeting signal 2 receptor,0.202661785,17.15171354,1.041279832,0.323685139,0.873904477,-5.693695139,No Change,
83,O00629,O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,0.018873077,21.91442289,0.349233388,0.734580121,0.991575893,-6.174422484,No Change,
84,O00716,O00716,E2F3_HUMAN,E2F3,Transcription factor E2F3,0.086867873,18.85347122,1.759712547,0.110756578,0.705077068,-4.821594622,No Change,
85,O00743,O00743,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,0.034363326,23.37273347,1.27162226,0.233949233,0.82836501,-5.446864042,No Change,
86,O00746,O00746,NDKM_HUMAN,NME4,"Nucleoside diphosphate kinase, mitochondrial",0.014249407,22.1063222,0.379545754,0.712682532,0.991575893,-6.162832323,No Change,
87,O00748,O00748,EST2_HUMAN,CES2,Cocaine esterase,0.08302995,18.8215953,1.719573416,0.118062454,0.708582144,-4.877218979,No Change,
88,O00754,O00754,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,0.015548129,22.28025913,0.508479419,0.622790296,0.975777495,-6.103202281,No Change,
89,O00764,O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,0.023637013,24.9132704,0.590870676,0.568486107,0.958529648,-6.056545251,No Change,
90,O14497,O14497,ARI1A_HUMAN,ARID1A,AT-rich interactive domain-containing protein 1A,0.007139033,20.50913435,0.170755863,0.868020731,0.997839254,-6.223419358,No Change,
91,O14508,O14508,SOCS2_HUMAN,SOCS2,Suppressor of cytokine signaling 2,-0.003651854,22.55442842,-0.074845276,0.941900382,0.997839254,-6.235934858,No Change,
92,O14530,O14530,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,-0.057833609,23.05899454,-2.007478176,0.074170502,0.692420786,-4.465762851,No Change,
93,O14545,O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,0.020045211,22.08718576,0.399265951,0.698582012,0.990371861,-6.154790838,No Change,
94,O14561,O14561,ACPM_HUMAN,NDUFAB1,"Acyl carrier protein, mitochondrial",0.090687456,22.94247546,2.67218173,0.024537759,0.591777236,-3.444132274,No Change,
95,O14562,O14562,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,0.001361965,24.4149785,0.035755014,0.972222595,0.999039915,-6.238235456,No Change,
96,O14579,O14579,COPE_HUMAN,COPE,Coatomer subunit epsilon,0.055501052,21.69949728,0.99378365,0.345123519,0.891647976,-5.739870678,No Change,
97,O14617,O14617,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,0.03784609,21.23876841,0.389712507,0.705398284,0.990855583,-6.158735718,No Change,
98,O14618,O14618,CCS_HUMAN,CCS,Copper chaperone for superoxide dismutase,-0.026116247,23.01063453,-0.633154238,0.541669914,0.955287478,-6.03008608,No Change,
99,O14641,O14641,DVL2_HUMAN,DVL2,Segment polarity protein dishevelled homolog DVL-2,-0.008327477,20.84167999,-0.185812377,0.856524471,0.997839254,-6.220571426,No Change,
100,O14686,O14686,KMT2D_HUMAN,KMT2D,Histone-lysine N-methyltransferase 2D,-0.069972773,20.57094467,-1.099662129,0.298737483,0.859733732,-5.634633904,No Change,
101,O14730,O14730,RIOK3_HUMAN,RIOK3,Serine/threonine-protein kinase RIO3,0.003587973,20.3046071,0.050766703,0.96056973,0.999039915,-6.237544194,No Change,
102,O14732,O14732,IMPA2_HUMAN,IMPA2,Inositol monophosphatase 2,-0.00802585,20.8195711,-0.059927661,0.953463149,0.997839254,-6.23700456,No Change,
103,O14737,O14737,PDCD5_HUMAN,PDCD5,Programmed cell death protein 5,-0.063332697,26.37182496,-1.270609552,0.23429419,0.82836501,-5.448026777,No Change,
104,O14744,O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,0.043290286,25.57570016,0.866612599,0.407646538,0.916822821,-5.854801264,No Change,
105,O14745,O14745,NHRF1_HUMAN,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,0.005054976,24.24457184,0.151582507,0.882707238,0.997839254,-6.226699913,No Change,
106,O14757,O14757,CHK1_HUMAN,CHEK1,Serine/threonine-protein kinase Chk1,-0.051323977,21.88417143,-1.044793551,0.322140076,0.873454955,-5.690211531,No Change,
107,O14763,O14763,TR10B_HUMAN,TNFRSF10B,Tumor necrosis factor receptor superfamily member 10B,-0.095138381,18.64107212,-1.147054026,0.279606465,0.85016485,-5.584889262,No Change,
108,O14770,O00470;O14770,MEIS2_HUMAN,MEIS2,Homeobox protein Meis2,-0.089016608,19.62020656,-1.787364593,0.105967465,0.703404725,-4.782915337,No Change,
109,O14772,O14772,FPGT_HUMAN,FPGT,Fucose-1-phosphate guanylyltransferase,0.025353379,20.87710378,0.596263704,0.565024973,0.955775988,-6.053264377,No Change,
110,O14776,O14776,TCRG1_HUMAN,TCERG1,Transcription elongation regulator 1,0.001144923,23.94611813,0.037105111,0.971174252,0.999039915,-6.238183099,No Change,
111,O14777,O14777,NDC80_HUMAN,NDC80,Kinetochore protein NDC80 homolog,-0.050280238,20.84610311,-0.870014371,0.405876585,0.916822821,-5.851897785,No Change,
112,O14787,O14787,TNPO2_HUMAN,TNPO2,Transportin-2,0.00014466,21.4336942,0.003228661,0.997491127,1,-6.238910399,No Change,
113,O14818,O14818,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,0.035561854,26.66793306,1.312294835,0.220438467,0.821262706,-5.399640047,No Change,
114,O14841,O14841,OPLA_HUMAN,OPLAH,5-oxoprolinase,0.042501569,21.24279002,1.411461269,0.190215471,0.795932658,-5.280367741,No Change,
115,O14867,O14867,BACH1_HUMAN,BACH1,Transcription regulator protein BACH1,-0.024123537,20.39975808,-0.217768115,0.832245588,0.997839254,-6.213736919,No Change,
116,O14908,O14908,GIPC1_HUMAN,GIPC1,PDZ domain-containing protein GIPC1,-0.041692132,20.61767093,-1.046706723,0.321301172,0.873454955,-5.688310886,No Change,
117,O14929,O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit,-0.009315499,25.33893686,-0.154169907,0.880722447,0.997839254,-6.226279865,No Change,
119,O14964,O14964,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,-0.065043749,22.98885126,-1.933753758,0.083658124,0.69396713,-4.57368254,No Change,
120,O14965,O14965,AURKA_HUMAN,AURKA,Aurora kinase A,-0.208862322,19.90654133,-1.334374364,0.21338069,0.814616529,-5.37358183,No Change,
121,O14972,O14972,VP26C_HUMAN,VPS26C,Vacuolar protein sorting-associated protein 26C,0.010802467,17.60633292,0.221945232,0.829085097,0.997839254,-6.212764341,No Change,
122,O14974,O14974,MYPT1_HUMAN,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,-0.039079618,21.02743347,-0.715377837,0.491693698,0.944034648,-5.973884032,No Change,
123,O14976,O14976,GAK_HUMAN,GAK,Cyclin-G-associated kinase,0.054482589,18.11475632,0.956015467,0.362910864,0.902707554,-5.775350457,No Change,
124,O14979,O14979,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,0.02221586,23.46020602,0.658074165,0.526215786,0.950985604,-6.013708935,No Change,
125,O14980,O14980,XPO1_HUMAN,XPO1,Exportin-1,-0.088780045,24.56165958,-1.078944273,0.307414723,0.859974907,-5.655877689,No Change,
126,O14981,O14981,BTAF1_HUMAN,BTAF1,TATA-binding protein-associated factor 172,-0.045805256,21.8088714,-0.508879743,0.622520171,0.975777495,-6.102991479,No Change,
127,O15014,O15014,ZN609_HUMAN,ZNF609,Zinc finger protein 609,-0.141273798,19.69579712,-2.555691201,0.029822119,0.604458593,-3.627210448,No Change,
128,O15027,O15027,SC16A_HUMAN,SEC16A,Protein transport protein Sec16A,-0.055378239,21.71436823,-1.736563416,0.114917838,0.705077068,-4.853751398,No Change,
129,O15042,O15042,SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,0.136257199,18.6442296,1.19232618,0.262249534,0.84469323,-5.535916399,No Change,
130,O15067,O15067,PUR4_HUMAN,PFAS,Phosphoribosylformylglycinamidine synthase,-0.008581027,25.37484258,-0.22542028,0.826458258,0.997839254,-6.211941302,No Change,
131,O15116,O15116,LSM1_HUMAN,LSM1,U6 snRNA-associated Sm-like protein LSm1,0.046963028,23.10321205,1.079235788,0.307291292,0.859974907,-5.65558093,No Change,
132,O15143,O15143,ARC1B_HUMAN,ARPC1B,Actin-related protein 2/3 complex subunit 1B,-0.031391153,24.8525021,-1.101939891,0.29779521,0.859733732,-5.632279461,No Change,
133,O15144,O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2,0.009585798,26.88364508,0.21771056,0.832289157,0.997839254,-6.213750192,No Change,
134,O15145,O15145,ARPC3_HUMAN,ARPC3,Actin-related protein 2/3 complex subunit 3,0.037766862,25.70348312,1.044418503,0.322304726,0.873454955,-5.690583804,No Change,
135,O15160,O15160,RPAC1_HUMAN,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,-0.033629246,22.81270932,-0.755380728,0.468452899,0.940815682,-5.944326425,No Change,
136,O15164,O15164,TIF1A_HUMAN,TRIM24,Transcription intermediary factor 1-alpha,0.160164203,18.17097616,2.105068619,0.063175791,0.668805649,-4.320661531,No Change,
137,O15182,O15182,CETN3_HUMAN,CETN3,Centrin-3,-0.085705338,19.08594174,-0.856485339,0.412947468,0.920583527,-5.863387978,No Change,
138,O15212,O15212,PFD6_HUMAN,PFDN6,Prefoldin subunit 6,-0.132776423,24.78545146,-2.968131045,0.014971642,0.544897433,-2.97687136,No Change,
139,O15234,O15234,CASC3_HUMAN,CASC3,Protein CASC3,-0.042136067,18.48148851,-0.617057541,0.551791286,0.955287478,-6.040356952,No Change,
140,O15235,O15235,RT12_HUMAN,MRPS12,Small ribosomal subunit protein uS12m,-0.052554012,21.09288002,-0.687184242,0.508499864,0.948050594,-5.993852224,No Change,
141,O15247,O15247,CLIC2_HUMAN,CLIC2,Chloride intracellular channel protein 2,0.013759256,20.62487904,0.320602608,0.755497002,0.992310181,-6.184506838,No Change,
142,O15294,O15294,OGT1_HUMAN,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,-0.0270004,21.03714711,-0.931151531,0.37498062,0.907711774,-5.798094866,No Change,
143,O15305,O15305,PMM2_HUMAN,PMM2,Phosphomannomutase 2,-0.008007322,23.48283597,-0.253583776,0.805255367,0.996485993,-6.204805115,No Change,
144,O15318,O15318,RPC7_HUMAN,POLR3G,DNA-directed RNA polymerase III subunit RPC7,-0.049894091,20.71393875,-1.103689751,0.297072894,0.859733732,-5.63046817,No Change,
145,O15347,O15347,HMGB3_HUMAN,HMGB3,High mobility group protein B3,-0.02696101,23.47938298,-0.603611931,0.560328105,0.955287478,-6.048749712,No Change,
146,O15355,O15355,PPM1G_HUMAN,PPM1G,Protein phosphatase 1G,-0.000393448,25.51485641,-0.013039615,0.989867696,0.999931129,-6.238825436,No Change,
147,O15372,O15372,EIF3H_HUMAN,EIF3H,Eukaryotic translation initiation factor 3 subunit H,-0.104892628,22.85128273,-2.056467801,0.06844075,0.680714404,-4.393223007,No Change,
148,O15379,O15379,HDAC3_HUMAN,HDAC3,Histone deacetylase 3,-0.032947066,20.52844441,-0.394736254,0.701810414,0.990855583,-6.156672783,No Change,
149,O15382,O15382,BCAT2_HUMAN,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",0.00926649,23.87744174,0.310896892,0.762636466,0.992329784,-6.187734176,No Change,
150,O15400,O15400,STX7_HUMAN,STX7,Syntaxin-7,0.046317801,20.57880769,1.408270509,0.191129911,0.797237438,-5.284293044,No Change,
151,O15446,O15446,RPA34_HUMAN,POLR1G,DNA-directed RNA polymerase I subunit RPA34,0.026542355,21.36537647,0.52880059,0.609153728,0.966721515,-6.092304121,No Change,
152,O15481,O15481,MAGB4_HUMAN,MAGEB4,Melanoma-associated antigen B4,0.129467488,19.77024354,1.706970304,0.120445633,0.708582144,-4.894552589,No Change,
153,O15498,O15498,YKT6_HUMAN,YKT6,Synaptobrevin homolog YKT6,0.022169891,23.33734322,0.668050598,0.5201031,0.950985604,-6.00699141,No Change,
154,O15511,O15511,ARPC5_HUMAN,ARPC5,Actin-related protein 2/3 complex subunit 5,0.019071716,24.44548889,0.701429503,0.499964625,0.945139572,-5.983852985,No Change,
155,O15514,O15514,RPB4_HUMAN,POLR2D,DNA-directed RNA polymerase II subunit RPB4,0.061075385,21.89041133,0.935073972,0.373057525,0.907668789,-5.794539522,No Change,
156,O15541,O15541;Q8IZP6,R113A_HUMAN,RNF113A,E3 ubiquitin-protein ligase RNF113A,0.012413908,20.53966104,0.276291846,0.788279446,0.996485993,-6.198449034,No Change,
157,O43143,O43143,DHX15_HUMAN,DHX15,ATP-dependent RNA helicase DHX15,0.005780548,24.32129715,0.157097432,0.878477801,0.997839254,-6.225796073,No Change,
158,O43147,O43147,SGSM2_HUMAN,SGSM2,Small G protein signaling modulator 2,0.055636618,22.26530883,0.66439946,0.522335239,0.950985604,-6.009460505,No Change,
159,O43148,O43148,MCES_HUMAN,RNMT,mRNA cap guanine-N7 methyltransferase,-0.065590651,22.79722018,-1.623129687,0.137442428,0.722940529,-5.008172643,No Change,
160,O43149,O43149,ZZEF1_HUMAN,ZZEF1,Zinc finger ZZ-type and EF-hand domain-containing protein 1,-0.053270575,19.39347135,-0.867626714,0.407118331,0.916822821,-5.853936704,No Change,
161,O43164,O43164,PJA2_HUMAN,PJA2,E3 ubiquitin-protein ligase Praja-2,-0.007542068,19.45443414,-0.18910952,0.854011597,0.997839254,-6.219915909,No Change,
162,O43167,O43167,ZBT24_HUMAN,ZBTB24,Zinc finger and BTB domain-containing protein 24,0.100136377,16.79727046,0.388791198,0.7060571,0.991363907,-6.159111269,No Change,
163,O43172,O43172,PRP4_HUMAN,PRPF4,U4/U6 small nuclear ribonucleoprotein Prp4,-0.089566669,22.53659731,-2.843658075,0.01842187,0.556121639,-3.173526779,No Change,
164,O43175,O43175,SERA_HUMAN,PHGDH,D-3-phosphoglycerate dehydrogenase,-0.003706604,25.51683065,-0.116502883,0.909695635,0.997839254,-6.231696075,No Change,
165,O43184,O43184,ADA12_HUMAN,ADAM12,Disintegrin and metalloproteinase domain-containing protein 12,0.127819969,19.8256407,1.646435218,0.132512912,0.722940529,-4.976892324,No Change,
166,O43237,O43237,DC1L2_HUMAN,DYNC1LI2,Cytoplasmic dynein 1 light intermediate chain 2,0.003221133,20.63367874,0.103121159,0.92002495,0.997839254,-6.233258484,No Change,
